Player Name,Runs,Wickets
V Kohli ,429,1
Mohammad Rizwan ,281,2
RG Sharma ,271,3
Babar Hayat ,235,1
Ibrahim Zadran ,196,2
PBB Rajapaksa ,191,3
Sabbir Rahman ,181,1
Muhammad Usman ,176,2
Najibullah Zadran ,176,3
P Nissanka ,173,1
Mahmudullah ,173,2
BKG Mendis ,155,3
Rahmanullah Gurbaz ,152,1
Shaiman Anwar ,151,2
LD Chandimal ,149,3
SA Yadav ,139,1
TM Dilshan ,132,2
KL Rahul ,132,3
MD Shanaka ,131,1
Mohammad Shahzad ,129,2
Rohan Mustafa ,122,3
Sarfaraz Ahmed ,121,1
Shoaib Malik ,121,2
Zeeshan Maqsood ,115,3
Shakib Al Hasan ,112,1
Umar Akmal ,105,2
Iftikhar Ahmed ,105,3
Fakhar Zaman ,96,1
Soumya Sarkar ,94,2
Hazratullah Zazai ,93,3
Asghar Stanikzai ,89,1
Yuvraj Singh ,89,2
Muhammad Kaleem ,89,3
HH Pandya ,83,1
Karim Sadiq ,82,2
S Dhawan ,79,3
Mohammad Nawaz ,79,1
Adnan Ilyas ,78,2
Mosaddek Hossain ,72,3
Noor Ali Zadran ,72,1
Jatinder Singh ,69,2
Babar Azam ,68,3
C Karunaratne ,66,1
PWH de Silva ,66,2
KD Shah ,65,3
MD Gunathilaka ,63,1
Anshuman Rath ,62,2
Amjad Javed ,61,3
Khushdil Shah ,58,1
B Kumar ,123,13
Amjad Javed ,169,12
Al-Amin Hossain ,134,11
Mohammad Naveed ,145,11
Rashid Khan ,202,11
HH Pandya ,207,11
PWH de Silva ,170,9
Shadab Khan ,113,8
Haris Rauf ,153,8
Mohammad Nawaz ,174,8
Mohammad Amir ,81,7
KMDN Kulasekara ,95,7
Mujeeb Ur Rahman ,111,7
Naseem Shah ,138,7
C Karunaratne ,145,7
Mohammad Nabi ,210,7
PM Liyanagamage ,55,6
JJ Bumrah ,94,6
A Nehra ,99,6
R Ashwin ,143,6
Rohan Mustafa ,146,6
Fazalhaq Farooqi ,152,6
Shakib Al Hasan ,152,6
D Madushanka ,155,6
M Theekshana ,162,6
Mohammad Irfan ,87,5
Fareed Ahmad ,88,5
Mashrafe Mortaza ,114,5
Taskin Ahmed ,138,5
Arshdeep Singh ,151,5
SL Malinga ,26,4
Mahmudullah ,28,4
Nadeem Ahmed ,77,4
Aamir Kaleem ,84,4
Bilal Khan ,91,4
RA Jadeja ,106,4
YS Chahal ,127,4
Mohammad Hasnain ,134,4
Mustafizur Rahman ,134,4
Mohammad Shahzad ,156,4
